"","1_the_astral","2_astral_light","3_kabbalistic_tarot","4_magnetic_sleep","5_seance","6_progression","Other_1","Other_2"
"1","adam.kadmon","astral.light","roman.catholic","great.work","manifestation","monad","manifestation","solar.system"
"2","astral.body","ether","spirit.of.charity","black.magic","occult.science","karma","esoteric.philosophy","modern.science"
"3","kali.yuga","same.time","man.of.science","same.time","first.cause","progress","secret.doctrine","ether"
"4","max.müller","one.day","high.priest","philosophical.stone","same.time","incarnation","same.time","physical.science"
"5","hebrew.letter","universal.agent","jesus.christ","astral.light","cosmic.substance","esoteric.buddhism","vishnu.purâna","occult.teaching"
"6","st.john","good.faith","catholic.church","great.arcanum","divine.name","fourth.round","holy.ghost","nebular.theory"
"7","book.of.number","nervous.system","same.idea","occult.science","esoteric.teaching","other.hand","dhyân.chohan","dhyân.chohan"
"8","heavenly.man","plastic.medium","true.religion","one.day","state.of.consciousness","human.soul","universal.soul","man.of.science"
"9","hieroglyphic.sign","law.of.nature","other.word","transcendental.magic","progress","secret.doctrine","day.of.brahmâ","esoteric.doctrine"
"10","fabre.d.olivet","nervous.ether","other.nation","universal.medicine","cosmic.ideation","theosophical.society","astral.light","ponderable.matter"
"11","card.of.the.tarot","human.life","occult.science","young.man","mode.of.motion","modern.science","esoteric.meaning","primordial.substance"
"12","minor.arcana","first.place","grand.hierophant","one.hand","card.of.the.tarot","physical.man","divine.wisdom","cardinal.point"
"13","source.of.measure","own.part","de.mirville","tarot.kabbalah","first.card","higher.self","monad","four.element"
"14","sacred.name","other.word","kingdom.of.heaven","whole.world","cosmic.matter","human.being","visible.universe","secret.doctrine"
"15","de.raiz","second.sight","latin.church","middle.ag","state.of.matter","root..race","son.of.god","four.cardinal.point"
"16","other.hand","material.body","tree.of.life","supreme.reason","absolute.consciousness","dhyân.chohan","creative.power","heavenly.body"
"17","law.of.nature","magical.agent","wise.man","progress","great.breath","man.of.science","personal.god","mundane.egg"
"18","first.matter","two.force","son.of.god","two.pillars","dhyân.chohan","spiritual.soul","max.müller","exact.science"
"19","major.arcana","soul.of.the.earth","right.hand","first.time","law.of.nature","spiritual.ego","four.element","planetary.system"
"20","secret.doctrine","man.of.science","one.god","force.of.nature","mrespect.crooke","first.round","water.of.space","seven.son"
"21","secret.book","man.of.genius","book.of.thoth","occult.philosophy","blind.faith","physical.body","two.aspect","sign.of.the.zodiac"
"22","ancient.of.day","manifestation","point.of.view","wise.man","karma","esoteric.philosophy","one.hand","modern.physic"
"23","holy.spirit","theosophical.society","virgin.mary","great.secret","central.point","universal.mind","dhyâni..buddha","occult.sciences"
"24","heavenly.body","human.being","sign.of.the.zodiac","precious.stone","perpetual.motion","human.race","pure.spirit","first.point"
"25","mystery.of.nature","one.hand","such.case","universal.science","universal.life","one.life","centre.of.energy","sir.william"
"26","black.magic","great.number","natural.force","jesus.christ","atomic.weight","divine.soul","brazen.serpent","esoteric.philosophy"
"27","early.christians","same.manner","old.testament","old.serpent","physical.phenomena","seventh.principle","night.of.brahmâ","volume.ii"
"28","royal.art","human.intelligence","great.period","three.worlds","hebrew.alphabet","physical.sense","son.of.light","vishnu.purâna"
"29","absolute.science","middle.ag","small.wheel","own.day","human.mind","human.body","third.race","occult.doctrine"
"30","analogy.of.contrary","great.magical.agent","holy.spirit","later.period","first.differentiation","ether","universal.mind","seven.form"
"31","mystery.language","tree.of.knowledge","five.year","point.of.view","herbert.spencer","higher.plane","great.mystery","other.planets"
"32","absolute.principle","one.side","force.of.nature","great.man","such.thing","volume.ii","primordial.water","vital.principle"
"33","old.book","magical.power","creation.of.the.world","human.body","occult.philosophy","personal.god","divine.spirit","sun..force"
"34","chaldean.book","vital.light","christian.religion","one.side","rig.veda","terrestrial.life","first.principle","roman.catholic"
"35","vertical.line","catherine.théot","solar.year","true.science","immutable.law","physical.science","great.deep","few.word"
"36","one.thing","arcana.of.the.tarot","one.case","first.part","golden.egg","million.of.year","long.time","one.sense"
"37","christian.church","whole.world","christ.jesus","great.master","solar.system","planetary.chain","four.elementary.form","seven.planets"
"38","seven.vowel","new.form","creative.word","young.girl","causeless.cause","divine.essence","elementary.form","two.kind"
"39","piazzi.smyth","universal.life","blind.man","law.of.equilibrium","power.of.nature","fifth.race","exact.science","physical.force"
"40","sepher.yetzirah","divine.power","great.adept","william.postel","sign.of.the.zodiac","lower.plane","objective.universe","william.thomson"
"41","ten.sephiroth","fundamental.principle","religious.system","saviour.of.the.world","evil.spirit","primal.cause","soul.of.the.world","occult.philosophy"
"42","kabbalistic.book","good.sense","other.man","magical.work","first.page","sidereal.body","one.sense","rig.veda"
"43","same.law","two.thing","human.race","grand.master","good.deal","human.monad","universal.spirit","christian.trinity"
"44","short.time","human.genius","whole.universe","universal.analogy","plane.of.existence","human.nature","âtmâ..buddhi","à.priori"
"45","two.force","vincent.de","mode.of.expression","key.of.the.tarot","fundamental.law","manifestation","age.of.brahmâ","seven.region"
"46","certain.case","magnetic.fluid","christian.church","perpetual.motion","plane.of.manifestation","other.word","adam.kadmon","same.subject"
"47","kabbalistic.key","incarnation","two.word","human.soul","divine.breath","third.root","spirit.of.god","modern.theory"
"48","three.term","own.image","X600.year","middle.age","terrestrial.plane","karmic.law","plane.of.illusion","great.gods"
"49","result.from.the.analogy","true.religion","mode.of.motion","three.time","correlation.of.force","divine.man","divine.origin","world.of.matter"
"50","manifestation","very.essence","twelve.year","key.of.solomon","physical.world","plane.of.matter","second.principle","other.plane"
"51","astral.light","soul.of.the.world","present.day","kabbalistic.alphabet","few.page","good.reason","history.of.magic","seven.stanza"
"52","tarot.kabbalah","force.in.nature","twelve.sign","true.adept","infinite.space","dead.letter","cosmic.evolution","ancient.philosopher"
"53","many.year","blind.force","great.hierophant","occult.medicine","three.person","sum.total","mundane.egg","root..race"
"54","professor.max","last.word","equilateral.triangle","cardinal.point","letter.of.the.hebrew.alphabet","immutable.law","religious.system","manifested.plane"
"55","ancient.nation","public.opinion","ancient.world","four.letter","human.being","whole.universe","colonel.wilford","central.sun"
"56","esoteric.meaning","natural.law","two.serpent","goat.of.mende","new.cycle","physical.plane","other.word","roman.church"
"57","breath.of.god","le.couturier","invisible.world","ancient.world","human.conception","same.way","secret.wisdom","archaic.teaching"
"58","universal.mystery","elementary.spirit","opposite.direction","spirit.of.darkness","one.reality","pure.spirit","one.life","great.man"
"59","three.letter","great.crime","de.gebelin","master.of.the.world","visible.world","inner.man","anthropomorphic.god","four.point"
"60","ain.suph","seal.of.solomon","sovereign.pontiff","sign.of.the.cross","own.essence","seven.principle","seven.element","seven.key"
"61","seven.head","great.criminal","perfect.word","magical.arcanum","same.way","law.of.karma","eternal.cause","thousand.year"
"62","four.corner","two.child","holy.thing","absolute.reason","material.universe","progression","creative.god","jewish.kabbalist"
"63","four.letter","will.of.man","elder.world","sacred.word","seven.state","few.year","fifth.principle","positive.pole"
"64","universal.language","little.finger","honorius.ii","human.mind","human.intellect","author.of.esoteric.buddhism","material.cause","sidereal.year"
"65","great.serpent","primordial.light","esoteric.teaching","sacred.book","divine.wisdom","esoteric.teaching","universal.life","present.century"
"66","four.rivers","one.time","ancient.religion","occult.power","sacred.name","esoteric.school","anima.mundi","son.of.light"
"67","motion.of.the.heavenly.body","hebrew.letter","new.religion","secret.society","creative.force","present.work","divine.voice","kali.yuga"
"68","own.experience","astral.fluid","vice.versâ","one.thing","manifested.world","phenomenal.world","active.force","fourth.race"
"69","seven.seal","property.of.matter","last.century","other.hand","subba.row","planetary.spirit","four.colour","divine.year"
"70","sacerdotal.art","great.man","father.of.the.church","single.word","neutral.centre","one.thing","fiery.serpents","christian.mystic"
"71","fire.from.heaven","double.triangle","fairy.tale","same.thing","other.gods","creative.force","other.life","same.relation"
"72","harmony.result","own.time","one.principle","present.day","invisible.being","other.world","breath.of.life","astral.light"
